court,date_dd,date_mon,date_yyyy,caseid_type,caseid_no,filed_dd,filed_mon,filed_yyyy,original_court,original_code,original_number,original_year,case_type,judge_1,judge_2,judge_3,judge_4,judge_5,judge_6,judge_7,comingfor,outcome,reason_adj,next_dd,next_mon,next_yyyy,male_applicant,female_applicant,organization_applicant,male_defendant,female_defendant,organization_defendant,legalrep,applicant_witness,defendant_witness,custody,other_details
Milimani Civil,6,Nov,2023,HCCC,123,13,Jun,2019,,,,0,Civil Suit,"Kendagor, Caroline J",,,0,0,0,0,Mention,Directions Given,,7,Mar,2024,0,0,1,0,0,1,Yes,0,0,0,
Milimani Civil,20,Nov,2023,HCCC,258,28,Sep,2016,,,,0,Civil Suit,"Kendagor, Caroline J",,,0,0,0,0,Mention,Directions Given,,16,May,2024,1,0,0,0,1,1,Yes,0,0,0,
Kiambu,3,Jun,2024,HCCRA,E053,4,Oct,2022,Gatundu Magistrate Court,MCCR,30,2019,Criminal Appeal,"Muteti, Alexander Muasya ",,,0,0,0,0,Hearing - Appeals,Judgment Date Given,,20,Jun,2024,1,0,0,1,0,0,No,0,0,0,
Kiambu,3,Jun,2024,HCCRA,E087,22,Aug,2023,Kikuyu Magistrate Court,MCCR,750,2015,Criminal Appeal,"Musyoki, Benjamin Mwikya",,,0,0,0,0,Certificate of urgency,Directions Given,,4,Jun,2024,2,0,0,0,0,1,Yes,0,0,0,Certificate of urgency activity auto-created 
Kiambu,3,Jun,2024,HCCRA,E061,28,Jun,2021,Kiambu Magistrate Court,MCCR,1233,2016,Criminal Appeal,"Bahati, Mwamuye",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,5,Jun,2024,0,0,1,3,0,0,No,0,0,0,
Kiambu,3,Jun,2024,HCCA,19,12,Feb,2020,Thika Magistrate Court,MCCC,449,2016,Civil Appeal,"Ado, Moses  Otieno",,,0,0,0,0,Hearing - Appeals,Judgment Date Given,,19,Jul,2024,2,0,0,0,1,0,Yes,0,0,0,
Kiambu,3,Jun,2024,HCCRA,E043,27,Jun,2023,Kiambu Magistrate Court,MCCR,785,2018,Criminal Appeal,"Njoroge, Benjamin Kimani",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,5,Jun,2024,1,0,0,1,0,0,No,0,1,1,
Kiambu,3,Jun,2024,HCCRA,E004,22,Jan,2021,Thika Magistrate Court,MCCR,3158,2017,Criminal Appeal,"Bahati, Mwamuye",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,6,Jun,2024,1,0,0,0,0,1,Yes,1,1,0,
Kiambu,3,Jun,2024,HCCRA,E053,11,Jun,2021,Githunguri Magistrate Court,MCCR,28,2017,Criminal Appeal,"Muteti, Alexander Muasya ",,,0,0,0,0,Hearing - Appeals,Judgment Date Given,,20,Jun,2024,1,0,0,1,0,0,No,0,0,1,
Kiambu,3,Jun,2024,HCCRA,E085,13,Aug,2021,Gatundu Magistrate Court,MCCR,878,2021,Criminal Appeal,"Soi, Alice Bett Chepngetich",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,6,Jun,2024,1,0,0,1,0,0,No,0,0,0,
Kiambu,3,Jun,2024,HCCRA,E040,20,Jun,2022,Githunguri Magistrate Court,MCCR,45,2017,Criminal Appeal,"Muteti, Alexander Muasya ",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,5,Jun,2024,1,0,0,1,0,0,Yes,0,0,0,
Kiambu,3,Jun,2024,HCCA,43,4,Mar,2020,Kiambu Magistrate Court,MCCC,269,2017,Civil Appeal,"Micheni, Wendy K.",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,5,Jun,2024,0,0,1,2,1,0,Yes,0,0,0,
Kiambu,3,Jun,2024,HCCA,E144,11,Aug,2021,Kiambu Magistrate Court,MCCHCC,12,2020,Civil Appeal,"Kassan, Linus Pogh'on",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,26,Jun,2024,0,2,0,1,0,0,Yes,0,0,0,
Kiambu,3,Jun,2024,HCCA,E164,5,Jun,2023,Kiambu Magistrate Court,MCCC,58,2017,Civil Appeal,"Ouya, Tabitha Wanyama",,,0,0,0,0,Hearing - Appeals,Adjournment,Partie(s) not ready,7,Jun,2024,2,0,0,0,1,0,Yes,0,0,0,
Kiambu,3,Jun,2024,HCCRA,E037,26,Jun,2023,Kiambu Magistrate Court,MCCR,75,2018,Criminal Appeal,"Rutto, Rhoda",,,0,0,0,0,Hearing - Appeals,Judgment Date Given,,5,Jul,2024,1,0,0,1,0,0,Yes,1,1,0,
Kiambu,3,Jun,2024,HCCRA,E034,27,May,2021,Githunguri Magistrate Court,MCSO,23,2016,Criminal Appeal,"Bahati, Mwamuye",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,6,Jun,2024,2,0,0,0,0,0,Yes,1,1,1,
Kiambu,3,Jun,2024,HCCRA,E117,20,Dec,2023,Kiambu Magistrate Court,MCCR,889,2021,Criminal Appeal,"Bahati, Mwamuye",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,5,Jun,2024,0,1,0,1,0,0,No,1,1,0,
Kiambu,3,Jun,2024,HCCRA,E020,25,May,2023,Kiambu Magistrate Court,MCCR,22,2019,Criminal Appeal,"Ado, Moses  Otieno",,,0,0,0,0,Hearing - Appeals,Mention Date Set (In Court),,4,Jun,2024,1,0,0,1,0,0,No,0,0,1,
